index,published,topic,term,domain,language,valid,de,title,description,en,la,url,image,archive,content,quote,added,feed,country,ipcc,continent
5d6719e0850715f212eb2493a2a12e42,2026-09-01T14:31:00Z,Wildfire,orman yangını,www.haber7.com,tr,0.9,Erschreckender Waldbrand in Bursa. Im Bezirk Iznik in Bursa ist ein Waldbrand ausgebrochen. Die in die Region entsandten Teams bekämpfen die Flammen vom Land und aus der Luft.,Bursa'da korkutan orman yangını,"Bursa'nın İznik ilçesinde orman yangını çıktı. Bölgeye sevk edilen ekipler, alevlere karadan ve havadan müdahale ediyor.",Frightening forest fire in Bursa. A forest fire broke out in Iznik district of Bursa. The teams dispatched to the region are fighting the flames from land and air.,Ignis in Bursa sylva horribilis. Ignis silva in Iznik agro Bursa erupit. Partes emissae in regionem flammam ex terra et aere pugnant.,https://www.haber7.com/guncel/haber/3656163-bursada-korkutan-orman-yangini,https://i12.haber7.net//haber/haber7/og_image/2026/36/h0k83_1788273071_4038.jpg,,"Yörükler Mahallesindeki tarm arazisinde saat 15.00 sralarnda yangn çkt. Rüzgarn da etkisiyle alevler ormana sçrarken, ihbarla bölgeye Orman Bölge Müdürlüü ve itfaiye ekipleri sevk edildi.
Yangna hav… [+33 chars]",,2026-09-03 14:43:18+00:00,effis,North Macedonia,MED,Europe
47adf5d9356747d65f96e3509a17c57c,2026-09-02T12:56:14Z,Wildfire,orman yangını,www.aa.com.tr,tr,0.9,"Das Feuer, das sich auf den Wald in Elazığ ausbreitete, wird bekämpft. Es werden Anstrengungen unternommen, um die Deckung und den Waldbrand, der im Bezirk Karakoçan in Elazığ ausgebrochen ist, unter Kontrolle zu bringen.",Elazığ'da ormana sıçrayan yangına müdahale ediliyor,Elazığ'ın Karakoçan ilçesinde çıkan örtü ve orman yangını kontrol altına alınmaya çalışılıyor.,The fire that spread to the forest in Elazığ is being intervened. Efforts are being made to control the cover and forest fire that broke out in Karakoçan district of Elazığ.,Ignis qui in silvam in Elazığ intervenit. Nisus factae sunt ad refrenandum velandum et incendium silveticum qui in Karakoçan agro Elazığ erupit.,https://www.aa.com.tr/tr/gundem/elazigda-ormana-sicrayan-yangina-mudahale-ediliyor/4045415,https://web-cdnprod.aa.com.tr/uploads/Contents/2026/09/02/thumbs_b_c_8558817b3da60e4226da4205faec8a0b.jpg,,"Hamzal köyü mevkisinde henüz belirlenemeyen nedenle çkan örtü yangn, rüzgarn etkisiyle ormanlk alana sçrad.
hbar üzerine bölgeye sevk edilen Elaz Orman Bölge Müdürlüünden 61 personel, 6 arazöz ve 2 … [+73 chars]",,2026-09-03 14:43:18+00:00,random,,,
9faaec1eabad0d90c6282bb72b0d6b65,2026-09-03T06:36:12Z,Thunderstorm,dolu,www.haberturk.com,tr,0.9,"Kisten voller verdorbener Fische an Land! Eine Person kam mit einem Nutzfahrzeug auf die Wiese in Arnavutköy, Istanbul, und warf Dutzende verdorbener Fische in Kisten auf das Land. Gegen die identifizierte Person wurde eine Geldstrafe von 40.000 Lira verhängt",Arazide kasalar dolu bozulmuş balık!,"İstanbul Arnavutköy'de ticari araçla çayırlık alana gelen bir kişi, kasalar içerisindeki onlarca bozulmuş balığı araziye döktü. Tespit edilen kişiye 40 bin lira ceza yazıldı","Crates full of spoiled fish on the land! A person came to the meadow area in Arnavutköy, Istanbul, with a commercial vehicle and dumped dozens of spoiled fish in the crates onto the land. A fine of 40 thousand liras was imposed on the person identified","Crates plenus piscium vastatorum in terra! Homo ad aream prati in Arnavutköy, Istanbul venit, cum vehiculo commercii et justos captivos pisces in craticulas in terram proiecit. Mulcta XL millium liras imposita est homini qui idem est",https://www.haberturk.com/gundem/arazide-kasalar-dolu-bozulmus-balik-3909922,https://im.haberturk.com/l/2026/09/03/ver1788417360/3909922/jpg/1200x628,,"Arnavutköy'de ticari araçla çayrlk alana gelen bir kii, kasalar içerisindeki onlarca bozulmu bal araziye döktü. O anlar fark eden bir vatanda cep telefonu kamerasyla görüntüleyerek ihbarda bulundu.
… [+1260 chars]",,2026-09-05 04:54:42+00:00,random,,,
293435162a6e1d7b681d227323d26be8,2026-09-05T15:57:10Z,Wildfire,orman yangını,www.aa.com.tr,tr,0.9,Im Bezirk Soma in Manisa ist ein Waldbrand ausgebrochen. Der Waldbrand im Bezirk Soma in Manisa wird aus der Luft und vom Land aus bekämpft.,Manisa'nın Soma ilçesinde orman yangını çıktı,Manisa'nın Soma ilçesinde çıkan orman yangınına havadan ve karadan müdahale ediliyor.,A forest fire broke out in Soma district of Manisa. The forest fire in Manisa's Soma district is being intervened by air and land.,Ignis sylva in Soma Manisae regione erupit. Ignis silvarum in regione Manisae Soma aere et terra intervenit.,https://www.aa.com.tr/tr/gundem/manisanin-soma-ilcesinde-orman-yangini-cikti/4048310,https://web-cdnprod.aa.com.tr/uploads/Contents/2026/09/05/thumbs_b_c_9c8153407f9e6404f934ab6b53c872b8.jpg,,"Heciz ve Beyce mahalleleri yaknlarndaki zmir-stanbul otoyolu kenarnda bulunan ormanlk alanda henüz belirlenemeyen nedenle yangn çkt.
hbar üzerine bölgeye zmir Orman Bölge Müdürlüüne bal 8 uçak, 12 h… [+298 chars]",,2026-09-07 10:42:44+00:00,effis,Cyprus,MED,Europe
59274fed9a1ecd3405c18c01dfd589e6,2026-09-06T12:48:59Z,Wildfire,orman yangını југозападен kuzey makedonya,www.yenicaggazetesi.com,tr,0.3,"Brandschutz in Van: Es wurde unter Kontrolle gebracht. Das Feuer, das im Bezirk Muradiye in Van ausbrach, wurde von Feuerwehrleuten gelöscht.",Van'da örtü yangını: Kontrol altına alındı,"Van'ın Muradiye ilçesinde etkili olan örtü üstü yangın, itfaiye ekipleri tarafından söndürüldü.","Cover fire in Van: It was taken under control. The fire, which was effective in Muradiye district of Van, was extinguished by firefighters.","In Van operculum ignis: Sub potestate sublatus est. Ignis, qui in Muradiye agro Van efficax erat, ab ignitoribus exstinctus est.",https://www.yenicaggazetesi.com/vanda-ortu-yangini-kontrol-altina-alindi-1068906h.htm,https://img.yenicaggazetesi.com/rcman/Cw1280h720q95gc/storage/files/images/2026/09/06/vanda-ortu-yangini-kontrol-altina-alindi-082a.jpg,,"Van'n Muradiye ilçesinde Açkyol Mahallesinde henüz örenilemeyen nedenle yangn çkt. Rüzgarn etkisiyle geni bir alana yaylan yangn gören mahalle sakinleri, 112 Acil Çar Merkezi'ne ihbarda bulundu. Ksa … [+459 chars]",,2026-09-08 10:04:26+00:00,effis,North Macedonia,MED,Europe
5d96486e99cb541981eddd8c08d1536b,2026-09-07T09:37:06Z,Wildfire,orman yangını,www.aa.com.tr,tr,0.9,"Der Waldbrand in der griechischen Region Konitsa konnte acht Tage lang nicht unter Kontrolle gebracht werden. Es wurde berichtet, dass der Waldbrand, der am 31. August in der Region Konitsa im Nordwesten Griechenlands ausbrach, am 8. Tag nicht unter Kontrolle gebracht werden konnte.",Yunanistan’ın Konitsa bölgesinde çıkan orman yangını 8 gündür kontrol altına alınamadı,​​​​​​​Yunanistan’ın kuzeybatısındaki Konitsa bölgesinde 31 Ağustos’ta çıkan orman yangınının 8. gününde de kontrol altına alınamadığı bildirildi.,The forest fire in the Konitsa region of Greece could not be taken under control for 8 days. It was reported that the forest fire that broke out in the Konitsa region in northwestern Greece on August 31 could not be brought under control on the 8th day.,Ignis silvarum in regione Konitsa Graeciae per VIII dies sub potestatem sumi non potuit. Nuntiatum est ignem silvarum in regione Konitsa in Graecia septentrionali septentrionali die 31 mensis Augusti orta esse non posse die octavo in dicionem redacti.,https://www.aa.com.tr/tr/dunya/yunanistan-in-konitsa-bolgesinde-cikan-orman-yangini-8-gundur-kontrol-altina-alinamadi/4049452,https://web-cdnprod.aa.com.tr/uploads/Contents/2026/09/07/thumbs_b_c_85e5c45d729c8c43bdcde3646bd0c28c.jpg,,"Trapezitsa bölgesinde devam eden yangna 150 itfaiyeci, 10 yaya ekip ve 48 araçla müdahale edildii belirtildi.
Günün ilk klaryla birlikte 3 helikopterin söndürme çalmalarna yeniden balad, hava araçla… [+387 chars]",,2026-09-08 10:04:26+00:00,effis,North Macedonia,MED,Europe
352764334fcb46a90b4c40a168821f10,2026-09-05T17:58:01Z,Wildfire,orman yangını şırnak türkiye,www.yenicaggazetesi.com,tr,0.3,Stoppelfeuer in zwei verschiedenen Regionen in Kırklareli. In zwei verschiedenen Regionen von Kırklareli brach ein Stoppelfeuer aus. Der ausgebrochene Brand konnte durch Eingreifen der Teams gelöscht werden.,Kırklareli'nde iki farklı bölgede anız yangını,Kırklareli'nin iki farklı bölgesinde anız yangını çıktı. Çıkan yangın ekiplerin müdahalesiyle söndürüldü.,Stubble fire in two different regions in Kırklareli. A stubble fire broke out in two different regions of Kırklareli. The fire that broke out was extinguished with the intervention of the teams.,Ignis stipula in duabus diversis regionibus in Kırklareli. Ignis stipula in duabus diversis regionibus Kırklareli erupit. Ignis exstinctus interventu iunctorum exstinctus est.,https://www.yenicaggazetesi.com/kirklarelinde-iki-farkli-bolgede-aniz-yangini-1068752h.htm,https://img.yenicaggazetesi.com/rcman/Cw1280h720q95gc/storage/files/images/2026/09/05/kirklarelinde-iki-farkli-bolgede-aniz-yangini-jihk.jpg,,"Krklareli Yündalan köyü yaknlarndaki biçilmi buday tarlasnda henüz örenilemeyen bir nedenle yangn çkt.
hbar üzerine bölgeye orman iletme, itfaiye, AFAD, UMKE ve jandarma ekipleri sevk edildi.
Rüzga… [+309 chars]",,2026-09-08 14:45:57+00:00,effis,Turkey,WCA,Asia
33048a541e624f8d35563ec930541895,2026-09-02T12:56:14Z,Wildfire,orman yangını,www.aa.com.tr,tr,0.9,"Das Feuer, das sich auf den Wald in Elazığ ausbreitete, wurde gelöscht. Der Deckungs- und Waldbrand im Bezirk Karakoçan in Elazığ wurde gelöscht.",Elazığ'da ormana sıçrayan yangın söndürüldü,Elazığ'ın Karakoçan ilçesinde çıkan örtü ve orman yangını söndürüldü.,The fire that spread to the forest in Elazığ was extinguished. The cover and forest fire in Karakoçan district of Elazığ was extinguished.,Ignis qui in Elaz silvae diffusus exstinctus est. Tegumentum et silva ignis in regione Karakoçan Elazığ exstincta est.,https://www.aa.com.tr/tr/gundem/elazigda-ormana-sicrayan-yangin-sonduruldu/4045415,https://web-cdnprod.aa.com.tr/uploads/Contents/2026/09/02/thumbs_b_c_8558817b3da60e4226da4205faec8a0b.jpg,,"Hamzal köyü mevkisinde henüz belirlenemeyen nedenle çkan örtü yangn, rüzgarn etkisiyle ormanlk alana sçrad.
hbar üzerine bölgeye sevk edilen 2 helikopter, Elaz Orman Bölge Müdürlüünden 61 personel, … [+193 chars]",,2026-09-08 22:57:36+00:00,random,,,
227e7e6db17d6a02e4b572f65f70ee3e,2026-09-02T16:07:38Z,Wildfire,orman yangını,www.yenicaggazetesi.com,tr,0.9,Vorsichtsmaßnahmen gegen Waldbrände in Salihli. Im Distrikt Salihli in Manisa werden die Sicherheits- und Vorsichtsinspektionen aufgrund der zunehmenden Waldbrandgefahr aufgrund der sengenden Hitze unvermindert fortgesetzt.,Salihli’de orman yangını tedbirleri,Manisa'nın Salihli ilçesinde kavurucu sıcaklar nedeniyle yükselen orman yangını tehdidine karşı güvenlik ve tedbir denetimleri hız kesmeden devam ediyor.,"Forest fire precautions in Salihli. In Manisa's Salihli district, security and precautionary inspections continue unabated against the rising forest fire threat due to scorching heat.","Cautiones in saltu ignis Salihli. In regione Salihli Manisa, securitas et cautelae inspectiones contra orientem silvestrem comminationem ignis orientis ob aestum incassum pergunt.",https://www.yenicaggazetesi.com/salihlide-orman-yangini-tedbirleri-1067756h.htm,https://img.yenicaggazetesi.com/rcman/Cw1280h720q95gc/storage/files/images/2026/09/02/salihlide-orman-yangini-tedbirleri-mviu.jpg,,Mevsim normallerinin üzerinde seyreden hava sıcaklıkları ve rüzgârın etkisiyle artan yangın riskine karşı Salihli Kaymakamı Ali Güldoğan sahaya indi. Gökeyüp ve İğdecik mahallelerinde incelemelerde b… [+922 chars],,2026-09-08 22:57:36+00:00,random,,,
2917916bb09efff628d208e8a01f7bc9,2026-09-03T07:44:44Z,Wildfire,orman yangını,www.yenicaggazetesi.com,tr,0.9,"Waldbrand in Afyonkarahisar: Er konnte durch Eingreifen der Teams gelöscht werden. Das Feuer, das auf einer Wiese im Distrikt Dinar in Afyonkarahisar ausbrach und sich in kurzer Zeit ausbreitete, konnte durch den intensiven Einsatz von Forstteams unter Kontrolle gebracht und gelöscht werden. Während einige Bäume durch das Feuer beschädigt wurden, werden in der Region weiterhin Abkühlungsmaßnahmen ergriffen.",Afyonkarahisar’da orman yangını: Ekiplerin müdahalesiyle söndürüldü,"Afyonkarahisar’ın Dinar ilçesinde otluk alanda başlayarak kısa sürede yayılan yangın, orman ekiplerinin yoğun müdahalesi sonucu kontrol altına alınarak söndürüldü. Yangında bazı ağaçlar zarar görürken, bölgede soğutma çalışmaları sürüyor.","Forest fire in Afyonkarahisar: It was extinguished with the intervention of the teams. The fire, which started in a grassy area in Dinar district of Afyonkarahisar and spread in a short time, was taken under control and extinguished as a result of the intensive intervention of forestry teams. While some trees were damaged in the fire, cooling efforts continue in the region.","Ignis saltus in Afyonkarahisar: interventu iunctorum extinctus est. Ignis, qui in spatio gramineo in Dinar regione Afyonkarahisar incepit et brevi tempore diffusus est, ob intensivam interventus silvarum iunctos in potestatem redactus et extinctus est. Cum nonnullae arbores in igne laedantur, nisus refrigerationis in regione permanent.",https://www.yenicaggazetesi.com/afyonkarahisarda-orman-yangini-ekiplerin-mudahalesiyle-sonduruldu-1067915h.htm,https://img.yenicaggazetesi.com/rcman/Cw1280h720q95gc/storage/files/images/2026/09/03/afyonkarahisarda-orman-yangini-ekiplerin-mudahalesiyle-sonduruldu-apqv.jpg,,"Yangn, Dinar ilçesine bal Cerityaylas köyünde meydana geldi. Edinilen bilgilere göre, yayla yaknndaki otluk alandan dumanlar çktn gören çevre sakinleri durumu 112 Acil Çar merkezine bildirerek yardm … [+320 chars]",,2026-09-08 22:57:36+00:00,random,,,
